"nSubmissionID","sItagID","dDateReviewed","sItagGovernanceType","sDecision","bConstraints","bActionItems","sContentType","sProductManufacturer","sProductName","dDateRequested","sTechnologyHostingModel","sApplicationHostingModel","sDeploymentType","sPurposeForEngagement","bNewITCapability","sITCapability","sBusinessCapability","bCurrentLicenses","sNumberOfUsers","bIntegrationRequired","sIntegrationMethod","bExternalDataSources","sDataObjectsInvolvedInIntegration","sSourceSystem","sTargetSystem","sProductNameWithManufacture","bOpenSource","nEstGaCost","nEstCapitalCost","sITClass"
"69","TGB006.2017","02/02/2017","Technology","No Decision (ITAG Informed Only)","False","False","TGB Technology Review","Devon","Inventory Management Tool in Microsoft Azure","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Production","Seeking Approval","False","Middleware & Platform :: Application Platform Services :: Application Development Lifecycle Management","","","","False","","False","","","","Devon | Inventory Management Tool in Microsoft Azure","No","0.0000","0.0000","Middleware & Platform :: Application Platform Services"
"72","AIGB008.2017","02/23/2017","Application","Approved","False","False","AIGB Application Review","Vertex, Inc.","Vertex Indirect Tax O Series  (i.e. Vertex O Series)","03/08/2017","","Hybrid (Contains both cloud based and on premises components)","Production","Seeking Approval","False","","Corporate :: Corporate Management :: Public Relations","","Less than  25","True","","False","","","","Vertex, Inc. | Vertex Indirect Tax O Series  (i.e. Vertex O Series)","No","21500","148100","Corporate :: Corporate Management"
"75","AIGB011.2017","02/23/2017","Application","Approved","False","False","AIGB Application Review","CGG Hampson-Russell","Hampson-Russell (RockSI and GeoSI modules)","02/15/2017","","On-Premises Hosted Application","Pilot (Small Production Sample)","Raise Awareness","False","","Geoscience","","Less than  25","True","","False","","","","CGG Hampson-Russell | Hampson-Russell (RockSI and GeoSI modules)","No","20000","0.0000","Geoscience"
"70","TGB007.2017","03/02/2017","Technology","Approved","False","False","TGB Technology Review","EPI Use Labs","Data Sync Manager","03/07/2017","On-Premises Infrastructure","","Production","Seeking Approval","True","Information Delivery :: Content Delivery :: Enterprise Content Management","","","","False","","False","","","","EPI Use Labs | Data Sync Manager","No","100000","0.0000","Information Delivery :: Content Delivery"
"74","TGB008.2017","03/02/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Usecase, High Frequency Data Collection","03/13/2017","Hybrid (Contains both cloud based and on premise components)","","Proof of Concept/Technology","Raise Awareness","True","Information Delivery :: Reporting & Analytics :: Analytics :: Data Exploration","","","","False","","False","","","","Microsoft | Azure Usecase, High Frequency Data Collection","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
"65","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Hortonworks","HDInsight","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Hortonworks | HDInsight","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"64","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Factory","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Integration :: Extract Transform & Load (ETL)","","","","False","","False","","","","Microsoft | Azure Data Factory","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"60","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Lake Analytics","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Microsoft | Azure Data Lake Analytics","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"59","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Data Lake Store","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Middleware & Platform :: Integration & Data Management :: Data Management","","","","False","","False","","","","Microsoft | Azure Data Lake Store","No","0.0000","0.0000","Middleware & Platform :: Integration & Data Management"
"66","TGB003.2017","01/19/2017","Technology","Approved","True","False","TGB Technology Review","Microsoft","Azure Machine Learning","02/04/2017","Cloud Hosted Platform as a Service (PaaS)","","Proof of Concept/Technology","Seeking Approval","False","Information Delivery :: Reporting & Analytics :: Analytics :: Predictive Analytics","","","","False","","False","","","","Microsoft | Azure Machine Learning","No","0.0000","0.0000","Information Delivery :: Reporting & Analytics"
